"Num","Name","Qty","Amount"
"Inventory",,,
"62337 (Fika one glass 2pc Rectangular 1300ml (44oz)  - Ivory)",,,
"TJX10002664","TJX - TJ Maxx:TJX-TJ Maxx-10",644,4578.84
"TJX40002664","TJX - TJ Maxx:TJX-TJ Maxx-40",796,5659.56
"TJX60002664","TJX - TJ Maxx:TJX-TJ Maxx-60",360,2559.60
"TJX80002664","TJX - TJ Maxx:TJX-TJ Maxx-80",1112,7906.32
"MAR01002662","TJX - Marshalls:TJX-Marshalls-01",524,3725.64
"MAR04002662","TJX - Marshalls:TJX-Marshalls-04",256,1820.16
"MAR06002662","TJX - Marshalls:TJX-Marshalls-06",440,3128.40
"MAR07002662","TJX - Marshalls:TJX-Marshalls-07",120,853.20
"MAR08002662","TJX - Marshalls:TJX-Marshalls-08",1048,7451.28
"TJX10002669","TJX - TJ Maxx:TJX-TJ Maxx-10",864,6143.04
"TJX40002669","TJX - TJ Maxx:TJX-TJ Maxx-40",1044,7422.84
"TJX60002669","TJX - TJ Maxx:TJX-TJ Maxx-60",988,7024.68
"TJX70002669","TJX - TJ Maxx:TJX-TJ Maxx-70",1328,9442.08
"TJX80002669","TJX - TJ Maxx:TJX-TJ Maxx-80",1076,7650.36
"Total 62337 (Fika one glass 2pc Rectangular 1300ml (44oz)  - Ivory)",,10600,75366.00
"62338 (Fika one glass 2pc Rectangular 1600ml (54oz)  - Ivory)",,,
"TJX10002664","TJX - TJ Maxx:TJX-TJ Maxx-10",384,3091.20
"TJX40002664","TJX - TJ Maxx:TJX-TJ Maxx-40",480,3864.00
"TJX60002664","TJX - TJ Maxx:TJX-TJ Maxx-60",216,1738.80
"TJX80002664","TJX - TJ Maxx:TJX-TJ Maxx-80",668,5377.40
"MAR01002662","TJX - Marshalls:TJX-Marshalls-01",352,2833.60
"MAR04002662","TJX - Marshalls:TJX-Marshalls-04",152,1223.60
"MAR06002662","TJX - Marshalls:TJX-Marshalls-06",300,2415.00
"MAR08002662","TJX - Marshalls:TJX-Marshalls-08",628,5055.40
"TJX10002669","TJX - TJ Maxx:TJX-TJ Maxx-10",520,4186.00
"TJX40002669","TJX - TJ Maxx:TJX-TJ Maxx-40",624,5023.20
"TJX60002669","TJX - TJ Maxx:TJX-TJ Maxx-60",592,4765.60
"TJX70002669","TJX - TJ Maxx:TJX-TJ Maxx-70",796,6407.80
"TJX80002669","TJX - TJ Maxx:TJX-TJ Maxx-80",648,5216.40
"Total 62338 (Fika one glass 2pc Rectangular 1600ml (54oz)  - Ivory)",,6360,51198.00
"66801 (Wavy Glass 11oz Square Food Storage, Dark Green - Vent)",,,
"JCS655681","JC Sales",1368,1463.76
"Total 66801 (Wavy Glass 11oz Square Food Storage, Dark Green - Vent)",,1368,1463.76
