SKU,Description,"Regular Local Cost 
(Current Cost)",Vendor Pack,Brand,Category,Sub-Category,Size,Shape,Color,Feature,Material,Max_Cartons_per_Pallet,Max Height_per_Pallet,CountryOfOrigin
,,,,,,,,,,,,,,
53002,"Clave Poly Cutting board 11.5x8"" - So White&Green",$2.18,24,Clave,Cutting Board,Cutting Board,"11.5x8""",,White Green,,PP,48,68,
53003,"Clave Poly Cutting board 14.5x10"" - So White&Green",$3.14,18,Clave,Cutting Board,Cutting Board,"14.5x10""",,White Green,,PP,39,68,
53004,"Clave Poly Cutting board 17.5x12"" - So White&Green",$4.00,12,Clave,Cutting Board,Cutting Board,"17.5x12""",,White Green,,PP,42,68,
53504,"BiJu 2pc Poly Cutting Board 11x15.5"" / 7x10"" - Wht&Blue / Wht&Red",$3.95,12,BiJu,Cutting Board Set,Cutting Board Set,"11x15.5 7x10""",,White Blue White Red,,PP,48,68,
53509,"BiJu 2pc Poly Cutting Board 11x15.5"" / 7x10"" - Blue / Gray",$3.95,12,BiJu,Cutting Board Set,Cutting Board Set,,,,,,48,68,
53522,"BiJu 3pc Poly Cutting Board 11x15.5"" / 9x12.5"" / 7x10"" - Stone / Blue / Gray",$5.52,8,BiJu,Cutting Board Set,Cutting Board Set,,,,,,48,68,
58103,"Flexible Cutting Mat 4pc Set - Red, Green, Yellow, Blue",$2.08,24,Cutting Mat,Cutting Board Set,Cutting Mat Set 4pc,,,Red Green Yellow Blue,Flexible,,66,68,
58171,"Flexible Cutting Mat 4pc Set - Blue, Sky Blue, Gray, Ivory",$2.08,24,Cutting Mat,Cutting Board Set,Cutting Mat Set 4pc,,,,Flexible,,66,68,
56250,Smart Seal 19oz Square Canister - White,$1.82,24,SM,Smart Seal,Smart Seal,19oz,Square,White,,,50,68,
56239,Smart Seal 46oz Square Canister - White,$2.16,12,SM,Smart Seal,Smart Seal,46oz,Square,White,,,50,68,
